Supplier Part Number,Part Description,Category L1,Category L2,Category L3,Category L4,Supplier,Part Description - Cleaned,Category L1 - Cleaned,Category L2 - Cleaned,Category L3 - Cleaned,Category L4 - Cleaned,Prediction,prob_Abrasives,prob_Automation Electrical,prob_Automation Mechanical,prob_Automation Welding,"prob_Chemicals, Oils & Lubricants",prob_Cutting Tools,prob_Gasses,prob_General,prob_Office Supplies,prob_Safety,prob_Tools
1236748,304354,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,304354,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005675954,0.0004151338,0.99510765,0.0004493202,0.00045442831,0.00034526142,0.0009541109,0.00063661585,0.00033920773,0.0005195263,0.00021112846
1951997,"KQ2H08-00A FITTING, STR UNION",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h08 00a fitting str union,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.001677571,0.0015391754,0.9847003,0.0013846318,0.0013430977,0.0011768814,0.003060673,0.001959662,0.0010025539,0.0015354998,0.0006199039
1952056,"KQ2U08-00A FITTING, UNION Y",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2u08 00a fitting union y,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016778684,0.001585407,0.9848749,0.0013848774,0.0013433358,0.0009930632,0.0030612154,0.0019208405,0.0010027316,0.0015357721,0.0006200138
1991879,"KQ2H06-U03A FITTING, UNIFIT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h06 u03a fitting unifit,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016784272,0.001585935,0.98520297,0.0013706085,0.0013437832,0.001041554,0.002734233,0.0018829304,0.0010030656,0.0015362836,0.0006202203
1992387,"KQ2L01-U02A FITTING, UNIFIT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l01 u02a fitting unifit,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016783428,0.0015858553,0.98515344,0.0014207986,0.0013437157,0.0010415016,0.0027340953,0.0018828358,0.0010030152,0.0015362063,0.0006201891
1992522,"KQ2L06-M5A FITTING, MALE ELBOW",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l06 m5a fitting male elbow,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0019280954,0.0017170871,0.9819104,0.0015914094,0.0015436719,0.0011641724,0.0042449157,0.0022504323,0.0011522729,0.0017648069,0.00073274435
1992563,"KQ2L07-U01A FITTING, UNIFIT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l07 u01a fitting unifit,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.00157014,0.0014836143,0.9859191,0.0014900718,0.0012570857,0.00097435556,0.002557827,0.0017614485,0.0009383508,0.0014371664,0.00061085797
1992878,"KQ2L10-01AS FITTING, MALE ELBOW",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l10 01as fitting male elbow,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015705489,0.0013028419,0.98617584,0.0014531881,0.0012574131,0.00094828784,0.002558493,0.0017619071,0.00093859516,0.0014375405,0.0005953075
2004007,"T0604B-20  TUBING, NYL. 20M ROLL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,t0604b 20 tubing nyl 20m roll,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015703689,0.0011485525,0.9860628,0.0013587436,0.001257269,0.001050735,0.0028650833,0.0017267553,0.00093848753,0.0014373758,0.00058377365
2004044,"T0806W-20  TUBING, NYL. 20M ROLL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,t0806w 20 tubing nyl 20m roll,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005307024,0.00038815095,0.99531907,0.00045918435,0.0004248912,0.0003141017,0.00096824893,0.00059548754,0.0003171596,0.00048575795,0.0001972849
2004605,"TIUB07C-33  TUBING, POLYURETHANE",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,tiub07c 33 tubing polyurethane,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005307278,0.00038816952,0.9953667,0.0004910691,0.0004249115,0.0003204502,0.00086457917,0.0006075879,0.00031717477,0.00048578117,0.00020290629
2005522,"TU1208G-20  TUBING, 20 METER ROLL (GR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,tu1208g 20 tubing 20 meter roll gr,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005307065,0.00038815395,0.99532676,0.00045918787,0.00042489448,0.0003141041,0.0009682564,0.0005835576,0.00031716205,0.00048576167,0.00020141002
2040825,KQ2H06-M5A FITTING,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h06 m5a fitting,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.00056741637,0.0005361478,0.9947937,0.00048034525,0.00045428495,0.00033583093,0.0010352314,0.0006626988,0.00033910072,0.0005193624,0.0002758116
2081520,D-R732  PROX SWITCH,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d r732 prox switch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005675318,0.0005362569,0.9949961,0.00043803503,0.00045437738,0.0003452227,0.00094879686,0.0006493549,0.0003391697,0.00051946804,0.00020567719
2083190,R6350A-2  BLOWER,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,r6350a 2 blower,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0006290394,0.00046007332,0.9942443,0.00055822835,0.0005036216,0.00043257332,0.0011151116,0.0007196486,0.000375928,0.00057576667,0.00038576554
2158763,NJ07  FLOATING JOINT,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,nj07 floating joint,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0006290811,0.0004601038,0.99431014,0.00054430513,0.000503655,0.00040820608,0.0010574664,0.0007494206,0.00037595292,0.00057580485,0.00038579112
2187760,"M127006 CLEVIS,1.3/4""/2"" M SERIES",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,m127006 clevis 1 3 4 2 m series,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0006289223,0.0005217197,0.9940592,0.00059737073,0.0005035279,0.00050256547,0.001024542,0.0007197026,0.00037585804,0.0005756595,0.00049100525
2367355,KQ2H06-01AS 1/8 PT X 6MM MALE CONNECTOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h06 01as 1 8 pt x 6mm male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005674749,0.00053620315,0.99489635,0.0004803948,0.00045433184,0.0003358656,0.0010353383,0.00062398735,0.0003391357,0.000519416,0.0002115064
2377379,D-R731  SENSOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d r731 sensor,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.000530655,0.00050141243,0.9952302,0.00047091953,0.00042485324,0.00032279114,0.00088714715,0.0006319498,0.00031713126,0.00048571455,0.00019726728
2475757,D-M9PSDPC  AUTO-SWITCH W/CONNECTOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d m9psdpc auto switch w connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005882536,0.00055583706,0.99462646,0.00052203436,0.0004709679,0.00035782772,0.0009582914,0.00066006434,0.00035155352,0.00053843524,0.0003702731
2475762,"D-G5BAL  AUTO SWITCH, BAND MOUNT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d g5bal auto switch band mount,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0007080773,0.00066905754,0.9935208,0.00061265595,0.0005669012,0.00041908261,0.0011101947,0.0008610731,0.00042316277,0.0006656888,0.00044331304
2511957,YI-1B6-530 SINGLE BELLOWS IMP AIR SPRING,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,yi 1b6 530 single bellows imp air spring,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.00058824837,0.0005558321,0.99461764,0.0005224842,0.0004709637,0.0003481607,0.0009888285,0.0006468299,0.00035155038,0.00053843047,0.0003710114
2627341,"1263K77 VBA KIT 3/8,1/2 PO CHECK",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,1263k77 vba kit 3 8 1 2 po check,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005882519,0.0005558355,0.99462366,0.0005442948,0.00047096657,0.0003481628,0.00095828867,0.00065978453,0.0003515525,0.0005384337,0.00036075237
2660164,K50-MP1.0-N01MS GAUGE,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,k50 mp1 0 n01ms gauge,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005305791,0.0005013407,0.9950879,0.0005168869,0.0004247925,0.000322745,0.0009988801,0.0006077701,0.00031708594,0.0004856451,0.00020642013
2665520,BA2-032 RING CLAMP,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ba2 032 ring clamp,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.00056744844,0.0005053476,0.99485,0.00047567848,0.00045431065,0.00044119617,0.000992179,0.0006497018,0.0003391199,0.0005193918,0.000205647
2764149,D-M9BL INLINE SOLID 2 WIRE DIRECT,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d m9bl inline solid 2 wire direct,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.00056756526,0.0005362885,0.9950547,0.00043806087,0.00045440416,0.00033591906,0.0009245887,0.0006240867,0.0003391897,0.0005194987,0.00020568931
2764176,D-Z76L REED SWITCH,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d z76l reed switch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0006386595,0.0006034652,0.9939891,0.0004929336,0.00051132386,0.00038848902,0.0014060804,0.00076073845,0.00038167718,0.0005845723,0.00024301332
2766612,"SY9320-5DZ-02T VALVE, DBL SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,sy9320 5dz 02t valve dbl sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005674805,0.0005362084,0.9949062,0.00043799545,0.00045433632,0.00033586888,0.0010353485,0.00066241954,0.00033913905,0.0005194211,0.0002056586
2789931,C4SF-Z FILTER BOWL,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,c4sf z filter bowl,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.00056759064,0.0004151303,0.99509925,0.00043808046,0.00045442447,0.0003427078,0.00092463003,0.00068976864,0.00033920485,0.00051952194,0.00020973856
2858346,D-A93SAPC SWITCH,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d a93sapc switch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016784503,0.0015859568,0.9852165,0.0013298532,0.0013438017,0.0009934077,0.0027342704,0.001957499,0.0010030793,0.0015363047,0.0006208602
3422819,"TU0604BU-33 TUBING, POLYURETHAN",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,tu0604bu 33 tubing polyurethan,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0019311006,0.0014123883,0.9834409,0.0017867973,0.001546078,0.0011659869,0.002910849,0.0021664551,0.0011540689,0.0017675576,0.00071787316
3468610,BKF22A BOWL PLASTIC  W/AUTO DRAIN,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,bkf22a bowl plastic w auto drain,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.000530695,0.00038814556,0.9953053,0.00047136509,0.0004248853,0.0003293247,0.00089208287,0.0006445839,0.00031715518,0.0004857512,0.00021078087
3540328,AS3000-N02 SPEED CONTROL,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as3000 n02 speed control,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015698008,0.0014832937,0.9857061,0.0014524959,0.0012568141,0.0012092058,0.0025572742,0.0017946983,0.000938148,0.0014368558,0.0005953094
3958364,D-M9BAL INLINE SOLID 2 WIRE DIRECT,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d m9bal inline solid 2 wire direct,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015704093,0.0014838688,0.9860882,0.0013587786,0.0012573013,0.0009294621,0.0026254023,0.0017267998,0.00093851174,0.0014374128,0.0005837887
3958395,"EVS1-01-FG-S-3ZRM0 VALVE, ISO SGL SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,evs1 01 fg s 3zrm0 valve iso sgl sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0019294384,0.0018231131,0.98259443,0.0017576871,0.0015447473,0.001141957,0.0033186525,0.0022535748,0.0011530756,0.0017660363,0.0007172553
3960706,SV4100-5W1U 2 POSITION SINGLE SOLENOID,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,sv4100 5w1u 2 position single solenoid,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015701621,0.0014836353,0.985933,0.0014303921,0.0012571034,0.0009293158,0.0026393957,0.0017977234,0.000938364,0.0014371866,0.0005836968
4241335,PF2W711-N10-67N DIGITAL FLOW SWITCH FOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,pf2w711 n10 67n digital flow switch for,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.001678409,0.0015859179,0.9851923,0.0012954387,0.0013437687,0.0010209563,0.0027342034,0.0020014124,0.0010030548,0.001536267,0.00060826633
4382034,EX600-DXPD DIG IN PNP 16 IN M12 CON,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ex600 dxpd dig in pnp 16 in m12 con,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016779334,0.0015854684,0.98491305,0.0013849309,0.0013433879,0.001020667,0.0027334283,0.001960949,0.0010027705,0.0015774854,0.0007999047
4538712,"KQB2U06-00 FITTING, NICKEL PLATED BRASS",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kqb2u06 00 fitting nickel plated brass,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016783419,0.0012275241,0.98515284,0.0013852682,0.0013437149,0.0010133731,0.0030620792,0.0019610906,0.0010030146,0.0015362055,0.00063655456
4556590,"VP544-5DZ1-A VALVE, SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,vp544 5dz1 a valve sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005674724,0.00053620077,0.994892,0.0004518117,0.00045432983,0.0003358641,0.0010353337,0.00066280505,0.00033913422,0.00051941373,0.00020565567
4558185,AK4000-N04 CHECK VALVE,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ak4000 n04 check valve,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005674303,0.00053616095,0.99481815,0.0004379567,0.0004542961,0.00033583917,0.0011315482,0.00064905774,0.00033910904,0.00051937514,0.00021106705
4564519,D-M9PWMDPC INLINE SOLID PNP DIRECT,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d m9pwmdpc inline solid pnp direct,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016625271,0.0015709102,0.9855274,0.0012831794,0.0013310526,0.0009839829,0.002506014,0.0019403426,0.0009935633,0.0015525798,0.0006485118
4576383,"SY7120-5YO-02T VALVE, SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,sy7120 5yo 02t valve sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015698655,0.001483355,0.98574674,0.0013943592,0.0012568659,0.0009291402,0.0028641648,0.0017968523,0.0009381867,0.001436915,0.0005835865
4785526,"AS2052F-08 SPEED CONTROLLER, INLINE,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as2052f 08 speed controller inline,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.001569998,0.0014834801,0.9858299,0.0013584227,0.001256972,0.0011766964,0.0025575955,0.0017962886,0.0009382659,0.0014370362,0.0005953842
4896300,"AS2052F-06 SPEED CONTROLLER, INLINE,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as2052f 06 speed controller inline,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015699993,0.0014834813,0.9858307,0.0013932643,0.001256973,0.0011766974,0.0025575976,0.0017606003,0.00093826663,0.0014370375,0.0005953847
4980047,"AS1002F-03 SPEED CONTROLLER, INLINE,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as1002f 03 speed controller inline,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015699773,0.0014834605,0.9858169,0.0013932448,0.0012569554,0.0011766809,0.00260579,0.0017263247,0.00093825354,0.0014370173,0.00059537636
4980427,"KQG2L09-N01S FITTING, METAL ONE TOUCH,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kqg2l09 n01s fitting metal one touch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015698678,0.0014833572,0.98574823,0.0014898134,0.0012568678,0.0010715794,0.0025573836,0.001796844,0.00093818817,0.0014758884,0.0006119753
4980515,"MKB32TN-10RZ CYLINDER, ROTARY CLAMP",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,mkb32tn 10rz cylinder rotary clamp,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015701586,0.0011483988,0.9859308,0.0014913875,0.0012571006,0.0012208121,0.0026606019,0.0017614694,0.0009383619,0.0014371834,0.00058369554
5047787,B1.5-20-SIT   VACUUM CUP,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,b1 5 20 sit vacuum cup,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016786901,0.0012277787,0.9853572,0.0012956556,0.0013439936,0.0010135833,0.0029758515,0.0019591027,0.0010032227,0.0015365242,0.00060836814
5225012,"AS3002F-12 SPEED CONTROLLER, INLINE,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as3002f 12 speed controller inline,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016781323,0.0015856564,0.9850299,0.0012952252,0.0013435471,0.0012926535,0.0027337526,0.001881862,0.0010028894,0.0015360137,0.00062040886
5432152,92648,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,92648,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016789575,0.0012279743,0.98551416,0.001295862,0.0013442078,0.0009937078,0.0028230594,0.0019608494,0.0010033825,0.001536769,0.0006210478
5624298,AD48-A FILTER BOWL,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ad48 a filter bowl,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0019283581,0.0014103826,0.9820442,0.0015278577,0.0015438823,0.001164331,0.0043569095,0.0023434514,0.0011524298,0.0018008307,0.000727311
5624324,AF30-03D-A FILTER,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,af30 03d a filter,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016783493,0.0015858614,0.98515725,0.0013297732,0.001343721,0.0010133776,0.002734106,0.0019975002,0.001003019,0.0015362124,0.0006208229
5624369,AF40-N04D-Z-A FILTER,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,af40 n04d z a filter,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016783468,0.001585859,0.98515576,0.0013297711,0.0013437188,0.001013376,0.0027341018,0.001999073,0.0010030175,0.00153621,0.00062082196
5624603,AR30-N03H-Z-A REGULATOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ar30 n03h z a regulator,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015700684,0.0014835467,0.9858742,0.0014913018,0.0012570284,0.00092926034,0.002639968,0.001795542,0.000938308,0.0014371008,0.00058366195
5684471,"KQ2H07-U02A FITTING, MALE CONNECTOR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h07 u02a fitting male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015701088,0.0014835849,0.9858995,0.0014900422,0.0012570608,0.00092928426,0.0025577762,0.0017978543,0.0009383322,0.001476115,0.00060027884
5754523,R422001317 CCI-DA-050-0030-0071224110000,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,r422001317 cci da 050 0030 0071224110000,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.00156994,0.0014834254,0.98579353,0.0013944253,0.0012569255,0.0010796051,0.0026390222,0.0017951769,0.00093823124,0.0014661157,0.0005836142
5785949,"KQ2H07-M5A FITTING, MALE CONNECTOR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h07 m5a fitting male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015696845,0.0014831839,0.9856331,0.0014896395,0.001256721,0.0009290331,0.0028638346,0.0017609375,0.00093807856,0.001475716,0.0006001166
5788578,"KQ2H08-U01A FITTING, MALE CONNECTOR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h08 u01a fitting male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015701088,0.0014835849,0.9858995,0.0014900422,0.0012570608,0.00092928426,0.0025577762,0.0017978543,0.0009383322,0.001476115,0.00060027884
5791413,"KQ2H08-U02A FITTING, MALE CONNECTOR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h08 u02a fitting male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015701088,0.0014835849,0.9858995,0.0014900422,0.0012570608,0.00092928426,0.0025577762,0.0017978543,0.0009383322,0.001476115,0.00060027884
5801634,ECO LROEM 1.15M X 2,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,eco lroem 1 15m x 2,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016625689,0.0012159867,0.98555213,0.0012832116,0.001331086,0.0010113205,0.0029194483,0.0018637788,0.0009935884,0.0015217676,0.0006450415
6058168,GKM27-54 PISTON ROD CLEVIS,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,gkm27 54 piston rod clevis,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016779932,0.0012272692,0.9849482,0.00142174,0.0013434358,0.0011227471,0.0030614433,0.002038346,0.0010028062,0.0015358864,0.00062005996
6606272,EX600-ED3-X2   END PLATE,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ex600 ed3 x2 end plate,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016782966,0.001227491,0.98512626,0.0013285746,0.0013436786,0.001331202,0.002896006,0.0019211915,0.0010029875,0.001536164,0.0006082255
6768729,"EX600-SEN3 ETHERNET/IP, PNP 2 PORT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ex600 sen3 ethernet ip pnp 2 port,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016783165,0.0015858304,0.98513794,0.0013297471,0.0013436945,0.0009933284,0.0028219814,0.0019200695,0.0010029994,0.0015778455,0.00060823275
6802741,A8R336M  AIR MOTOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,a8r336m air motor,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005675503,0.0004151008,0.99502856,0.00043804932,0.0004543922,0.0004371798,0.0009245643,0.00066190737,0.00033918075,0.00051948504,0.00021406067
6938651,VQC4201-51 VQC VALVE,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,vqc4201 51 vqc valve,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005674501,0.0005361797,0.99485284,0.00046836137,0.00045431196,0.000345173,0.0010624627,0.0006490803,0.00033912086,0.0005193933,0.00020564758
6951236,"VQ4201-51 VALVE, SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,vq4201 51 valve sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.00063850195,0.0006033163,0.99374384,0.00059078983,0.00051119766,0.00038839315,0.0015743664,0.00073035364,0.000381583,0.00060027855,0.00023735862
