Supplier Part Number,Part Description,Category L1,Category L2,Category L3,Category L4,Supplier,Part Description - Cleaned,Category L1 - Cleaned,Category L2 - Cleaned,Category L3 - Cleaned,Category L4 - Cleaned,Prediction,prob_Abrasives,prob_Automation Electrical,prob_Automation Mechanical,prob_Automation Welding,"prob_Chemicals, Oils & Lubricants",prob_Cutting Tools,prob_Gasses,prob_General,prob_Office Supplies,prob_Safety,prob_Tools
10642091,SHS25C1UU (GK) BLOCK,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,RAIL PRODUCTS-BEARINGS,Motion,shs25c1uu gk block,bearings,linear products,linear products,rail products bearings,Automation Mechanical,0.004672038,0.007411,0.9529085,0.0058336486,0.0048442716,0.0050779874,0.003952094,0.0056458144,0.003318204,0.0040581943,0.002278202
11106538,HSR15C1SS(GK) BLOCK,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,RAIL PRODUCTS-BEARINGS,Motion,hsr15c1ss gk block,bearings,linear products,linear products,rail products bearings,Automation Mechanical,0.0058995904,0.00724368,0.9422005,0.008724381,0.0047872188,0.0064121983,0.0049904827,0.0074117156,0.0041900445,0.0052634454,0.0028767872
12257415,"NAH35ANZ-K2P LINEAR BEARING, 2 K1 LUB UN",BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,RAIL PRODUCTS-BEARINGS,Motion,nah35anz k2p linear bearing 2 k1 lub un,bearings,linear products,linear products,rail products bearings,Automation Mechanical,0.0058866595,0.007227803,0.94013536,0.009165503,0.004776726,0.008360377,0.0051795663,0.007103427,0.0041808607,0.005113231,0.002870482
14820006,LAW27ELZ-K1P DESLIZADOR,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,RAIL PRODUCTS-BEARINGS,Motion,law27elz k1p deslizador,bearings,linear products,linear products,rail products bearings,Automation Mechanical,0.0018723301,0.0028595142,0.9788907,0.00258159,0.0014627936,0.0019593278,0.004447687,0.0021758354,0.0012803201,0.0015658434,0.00090404676
14820009,L1W270280Z RIEL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,RAIL PRODUCTS-BEARINGS,Motion,l1w270280z riel,bearings,linear products,linear products,rail products bearings,Automation Mechanical,0.0089418385,0.01326054,0.90460426,0.011595592,0.0069859843,0.011218616,0.015877245,0.009605679,0.006114528,0.0074781277,0.004317529
182095,40BS31 1 1/4 FINISHED BORE,POWER TRANSMISSION,R CHAIN SPKTS,STANDARD ROLLER CH SPKTS,RSB & BTS SPKTS,Motion,40bs31 1 1 4 finished bore,power transmission,r chain spkts,standard roller ch spkts,rsb bts spkts,Automation Mechanical,0.012777488,0.004665144,0.6385359,0.012601025,0.005787175,0.006123742,0.020433396,0.005288925,0.003929275,0.005219994,0.2846379
204609,06A15 METRIC  SPKT,POWER TRANSMISSION,R CHAIN SPKTS,STANDARD ROLLER CH SPKTS,RSB & BTS SPKTS,Motion,06a15 metric spkt,power transmission,r chain spkts,standard roller ch spkts,rsb bts spkts,Automation Mechanical,0.011934739,0.0043574492,0.670606,0.011006231,0.005405476,0.0043948763,0.019085694,0.0049395706,0.0036701155,0.0048757065,0.25972417
216110,SK 1-7/8 QD BUSHING               120435,POWER TRANSMISSION,"BUSHINGS (TL,QD.ETC)","BUSHINGS TL, QD, ETC",QD BUSHINGS,Motion,sk 1 7 8 qd bushing 120435,power transmission,bushings tl qd etc,bushings tl qd etc,qd bushings,Tools,0.014381726,0.011516523,0.08593749,0.026233822,0.018206136,0.012383023,0.017128557,0.016465686,0.016492937,0.018454943,0.7627992
220590,1008 3/4 W/KW TL BUSHING 117150,POWER TRANSMISSION,"BUSHINGS (TL,QD.ETC)","BUSHINGS TL, QD, ETC",TAPERLOCK BUSHINGS,Motion,1008 3 4 w kw tl bushing 117150,power transmission,bushings tl qd etc,bushings tl qd etc,taperlock bushings,Tools,0.007404524,0.00576318,0.042897318,0.012475375,0.00937355,0.005793665,0.009552399,0.008482943,0.0070983777,0.01010783,0.8810508
221815,1615 1 1/4 BUSHING TB,POWER TRANSMISSION,"BUSHINGS (TL,QD.ETC)","BUSHINGS TL, QD, ETC",TAPERLOCK BUSHINGS,Motion,1615 1 1 4 bushing tb,power transmission,bushings tl qd etc,bushings tl qd etc,taperlock bushings,Tools,0.009802696,0.007629755,0.01889645,0.0158506,0.009204558,0.008182114,0.020002726,0.011455246,0.009397396,0.013381547,0.87619686
996872,5154-170-002  ELECT BRAKE,POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,ELECT CLUTCHES & BRAKES,Motion,5154 170 002 elect brake,power transmission,mechanical drv compnts,clutches brakes,elect clutches brakes,Tools,0.0015374176,0.0012924717,0.033324577,0.0021346498,0.0012478894,0.0023368758,0.003698827,0.001766334,0.0011063772,0.0016791715,0.9498754
1037042,8253854 BGE 1.5 RECTIFIER,POWER TRANSMISSION,GEAR REDUCERS,GEAR REDUCER REPAIR PARTS,GEAR REDUCER REPAIR PARTS,Motion,8253854 bge 1 5 rectifier,power transmission,gear reducers,gear reducer repair parts,gear reducer repair parts,Tools,0.002236277,0.0048108087,0.004098714,0.0028558401,0.0019473744,0.005696775,0.0036904048,0.0024299782,0.0015101293,0.0020368623,0.9686868
1116281,108704100EPF BRAKE ASSY-STD,POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,ELECT CLUTCHES & BRAKES,Motion,108704100epf brake assy std,power transmission,mechanical drv compnts,clutches brakes,elect clutches brakes,Tools,0.0015293245,0.0011792806,0.03271462,0.0021234138,0.0012413216,0.0019939723,0.0044762027,0.0018277374,0.0011005535,0.0016703329,0.95014316
1118277,108705100GQF BRAKE ASSY-STD,POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,ELECT CLUTCHES & BRAKES,Motion,108705100gqf brake assy std,power transmission,mechanical drv compnts,clutches brakes,elect clutches brakes,Tools,0.0014956252,0.0014321681,0.032418698,0.0020229318,0.0012139673,0.0022733512,0.0035062633,0.0017532787,0.001076302,0.0016335257,0.9511739
1258818,25CCF-100-E CHAIN,POWER TRANSMISSION,ENG CHAIN & SPKTS,ENGINEERING CHAIN & SPKTS,ENGINEERING CHAIN,Motion,25ccf 100 e chain,power transmission,eng chain spkts,engineering chain spkts,engineering chain,Automation Mechanical,0.009664007,0.00806683,0.8088354,0.015976658,0.008981913,0.014608089,0.01599853,0.012507157,0.023381738,0.012033236,0.06994648
1313159,"566506100 KIT-#6 AC SOL-87,000",POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,ELECT CLUTCHES & BRAKES,Motion,566506100 kit 6 ac sol 87 000,power transmission,mechanical drv compnts,clutches brakes,elect clutches brakes,Tools,0.0013519824,0.0012946196,0.026114143,0.0018286451,0.0010973754,0.0016025373,0.002348833,0.0015224728,0.0009729317,0.0014766385,0.9603898
2043907,1610 25MM  BUSHING,POWER TRANSMISSION,"BUSHINGS (TL,QD.ETC)","BUSHINGS TL, QD, ETC",TAPERLOCK BUSHINGS,Motion,1610 25mm bushing,power transmission,bushings tl qd etc,bushings tl qd etc,taperlock bushings,Tools,0.0069691604,0.005424325,0.040375087,0.011741861,0.008822409,0.007072744,0.008990747,0.007984172,0.0066810176,0.00951352,0.88642496
3476240,835030 BRAKE,POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,AIR CLTCHS & BRKS,Motion,835030 brake,power transmission,mechanical drv compnts,clutches brakes,air cltchs brks,Tools,0.006072322,0.0044642915,0.1262991,0.008431207,0.00492878,0.007234525,0.012863654,0.00683581,0.006014572,0.006782979,0.8100728
3543356,5370-273-209 UNI MODULE  90V,POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,ELECT CLUTCHES & BRAKES,Motion,5370 273 209 uni module 90v,power transmission,mechanical drv compnts,clutches brakes,elect clutches brakes,Tools,0.0013497508,0.0012550155,0.027724765,0.00187245,0.0010955641,0.0015566837,0.002344956,0.0015507241,0.00097132573,0.0014742011,0.95880455
3596629,F718-15KT-B5-J3 REDUCER,POWER TRANSMISSION,GEAR REDUCERS,STANDARD WORM REDUCERS,STANDARD WORM REDUCERS,Motion,f718 15kt b5 j3 reducer,power transmission,gear reducers,standard worm reducers,standard worm reducers,Tools,0.004117344,0.009118774,0.023989521,0.0060008704,0.0035854299,0.0096199745,0.008718367,0.004477208,0.005968045,0.0040055774,0.92039895
6624699,5371-169-090 BRAKE EUM-215-20FBB 90V,POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,ELECT CLUTCHES & BRAKES,Motion,5371 169 090 brake eum 215 20fbb 90v,power transmission,mechanical drv compnts,clutches brakes,elect clutches brakes,Tools,0.0013515757,0.0010017941,0.026106289,0.0018766148,0.0010970454,0.0020543959,0.0024097487,0.0015528208,0.000972639,0.0014761944,0.9601009
7007439,D08C21 X 20MM   SPROCKET,POWER TRANSMISSION,R CHAIN SPKTS,STANDARD ROLLER CH SPKTS,MISC SPKTS,Motion,d08c21 x 20mm sprocket,power transmission,r chain spkts,standard roller ch spkts,misc spkts,Automation Mechanical,0.014789051,0.0055552674,0.74956614,0.01457211,0.0066982512,0.009702132,0.025873184,0.0061132894,0.004918883,0.006291687,0.15591998
7275532,F718-20K-B5-G1,POWER TRANSMISSION,GEAR REDUCERS,STANDARD WORM REDUCERS,STANDARD WORM REDUCERS,Motion,f718 20k b5 g1,power transmission,gear reducers,standard worm reducers,standard worm reducers,Tools,0.003895198,0.0086267805,0.025518117,0.005905266,0.003391981,0.006592885,0.007137026,0.004154737,0.005646044,0.0037894596,0.9253425
7275537,F718-15K-B5-G1,POWER TRANSMISSION,GEAR REDUCERS,STANDARD WORM REDUCERS,STANDARD WORM REDUCERS,Motion,f718 15k b5 g1,power transmission,gear reducers,standard worm reducers,standard worm reducers,Tools,0.0037057586,0.008207224,0.022427952,0.005618069,0.0032270148,0.0062722457,0.010002704,0.003952675,0.0053714537,0.0036051625,0.9276098
7275630,F718-20KT-B5-J3,POWER TRANSMISSION,GEAR REDUCERS,STANDARD WORM REDUCERS,STANDARD WORM REDUCERS,Motion,f718 20kt b5 j3,power transmission,gear reducers,standard worm reducers,standard worm reducers,Tools,0.0036996996,0.008193806,0.022391282,0.0057577495,0.0032217386,0.007508597,0.010304663,0.0038674378,0.0053626713,0.003599268,0.9260931
7955502,PD60-30 OCM,POWER TRANSMISSION,ENG CHAIN & SPKTS,ENGINEERING CHAIN & SPKTS,ENGINEERING CHAIN,Motion,pd60 30 ocm,power transmission,eng chain spkts,engineering chain spkts,engineering chain,Automation Mechanical,0.0042035985,0.003983107,0.91205454,0.0071535697,0.0039069047,0.010340759,0.00800993,0.0049160984,0.0101704635,0.0045172945,0.030743781
8415987,9551  SHOE FACING,POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,AIR CLTCHS & BRKS,Motion,9551 shoe facing,power transmission,mechanical drv compnts,clutches brakes,air cltchs brks,Tools,0.00664292,0.004883788,0.15739416,0.009215441,0.005391923,0.006249815,0.018852642,0.007336715,0.006579744,0.007420356,0.7700325
8517082,206Q56H50 107 REDUCER,POWER TRANSMISSION,GEAR REDUCERS,STANDARD WORM REDUCERS,STANDARD WORM REDUCERS,Motion,206q56h50 107 reducer,power transmission,gear reducers,standard worm reducers,standard worm reducers,Tools,0.004023321,0.006897166,0.024928639,0.0057171993,0.0035035517,0.0066751456,0.00825611,0.0044662785,0.0058317566,0.003914105,0.92578673
8572992,206399 LUBE CARTRIDGE WITH GDEL H1 - VO,POWER TRANSMISSION,GEAR REDUCERS,HI-VOL SNGL WRM REDUCERS,HI-VOL SNGL WRM REDUCERS,Motion,206399 lube cartridge with gdel h1 vo,power transmission,gear reducers,hi vol sngl wrm reducers,hi vol sngl wrm reducers,Tools,0.0035385084,0.0066150264,0.01050664,0.0047964994,0.0029204865,0.0030240184,0.01138175,0.0038458419,0.005367321,0.0034125457,0.94459134
9438619,F718-25K-B5-G1 WORM SPEED REDUCER,POWER TRANSMISSION,GEAR REDUCERS,STANDARD WORM REDUCERS,STANDARD WORM REDUCERS,Motion,f718 25k b5 g1 worm speed reducer,power transmission,gear reducers,standard worm reducers,standard worm reducers,Tools,0.0041322727,0.009151836,0.0240765,0.006182475,0.0035984297,0.0070462064,0.007571413,0.004494956,0.005989684,0.004020101,0.9237361
9443430,F832B-20K-B5-M4 INLINE HELICAL SPEED,POWER TRANSMISSION,GEAR REDUCERS,STANDARD WORM REDUCERS,STANDARD WORM REDUCERS,Motion,f832b 20k b5 m4 inline helical speed,power transmission,gear reducers,standard worm reducers,standard worm reducers,Tools,0.0040121,0.008885686,0.023376312,0.006096841,0.0034937798,0.009492891,0.007351221,0.004367864,0.005815491,0.0039031878,0.9232046
14102773,TL350-1B6.5 TOQUE LIMITER,POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,"MECH.CLTCH,BRKS&TORQ.LIMI",Motion,tl350 1b6 5 toque limiter,power transmission,mechanical drv compnts,clutches brakes,mech cltch brks torq limi,Tools,0.0051688524,0.0049495474,0.10759023,0.006991216,0.00419545,0.005138383,0.011012797,0.0058255303,0.0038899232,0.005828306,0.83940977
14222623,KAZ77 AQSH190/3 HELICAL GEARMOTOR,POWER TRANSMISSION,GEAR REDUCERS,SHAFT MT HELICAL RDCRS,SHAFT MT HELICAL RDCRS,Motion,kaz77 aqsh190 3 helical gearmotor,power transmission,gear reducers,shaft mt helical rdcrs,shaft mt helical rdcrs,Tools,0.0016823667,0.0012612019,0.012905386,0.002272479,0.0015013359,0.002789131,0.0017091788,0.0020633154,0.0013482347,0.0016086696,0.97085863
14224644,80A15 W/ER16 IDLER SPROCKET,POWER TRANSMISSION,R CHAIN SPKTS,HI-VOLUME ROLLER CH SPKTS,RSB & BTS HI-VOL SPKTS,Motion,80a15 w er16 idler sprocket,power transmission,r chain spkts,hi volume roller ch spkts,rsb bts hi vol spkts,Automation Mechanical,0.014204414,0.0052268486,0.6510793,0.013122855,0.0064334576,0.006434231,0.07754082,0.0057614804,0.008163708,0.0059199575,0.2061129
15261469,EXPEDITE SAME DAY BUILD NO PAINT,POWER TRANSMISSION,GEAR REDUCERS,OTHER GEAR REDUCERS,MOTOREDUCER,Motion,expedite same day build no paint,power transmission,gear reducers,other gear reducers,motoreducer,Tools,0.001046266,0.0019154444,0.007749365,0.0016815603,0.00092946755,0.004469727,0.0015466792,0.0011849887,0.001622994,0.0009725987,0.9768809
15375855,SH37/T DRN71M4/BE05/MM03,POWER TRANSMISSION,GEAR REDUCERS,OTHER GEAR REDUCERS,HELICAL GEAR REDUCERS,Motion,sh37 t drn71m4 be05 mm03,power transmission,gear reducers,other gear reducers,helical gear reducers,Tools,0.001426834,0.0029935206,0.00915619,0.0021614977,0.0012425026,0.0047836457,0.0031703447,0.0016136563,0.0024970341,0.0013887959,0.9695659
18755133,F721-20KT-B7-J3 WORM SPEED REDUCER,POWER TRANSMISSION,GEAR REDUCERS,OTHER GEAR REDUCERS,MOTOREDUCER,Motion,f721 20kt b7 j3 worm speed reducer,power transmission,gear reducers,other gear reducers,motoreducer,Tools,0.0011136717,0.0026340114,0.008248618,0.0017622501,0.0009893485,0.0056119966,0.0014860622,0.0011882591,0.0017275554,0.0010352583,0.97420293
18755134,F721-15KT-B7-J3 WORM SPEED REDUCER,POWER TRANSMISSION,GEAR REDUCERS,OTHER GEAR REDUCERS,MOTOREDUCER,Motion,f721 15kt b7 j3 worm speed reducer,power transmission,gear reducers,other gear reducers,motoreducer,Tools,0.0011136717,0.0026340114,0.008248618,0.0017622501,0.0009893485,0.0056119966,0.0014860622,0.0011882591,0.0017275554,0.0010352583,0.97420293
18755135,F721-15KT-B7-G3 WORM SPEED REDUCER,POWER TRANSMISSION,GEAR REDUCERS,OTHER GEAR REDUCERS,MOTOREDUCER,Motion,f721 15kt b7 g3 worm speed reducer,power transmission,gear reducers,other gear reducers,motoreducer,Tools,0.0011146425,0.002559886,0.008255809,0.0017637863,0.0009902109,0.0047972766,0.0014873577,0.0012136172,0.0017290614,0.0010361607,0.9750522
19032297,"84125-66-U3K-EHJ  BRAKE,HOIST",POWER TRANSMISSION,MECHANICAL DRV COMPNTS,CLUTCHES & BRAKES,"MECH.CLTCH,BRKS&TORQ.LIMI",Motion,84125 66 u3k ehj brake hoist,power transmission,mechanical drv compnts,clutches brakes,mech cltch brks torq limi,Tools,0.0052640047,0.0039017044,0.11652113,0.0073088836,0.004272681,0.005091644,0.0112155285,0.0060484,0.0039615305,0.0059355954,0.83047897
19091898,KF37 DRN71MS4/BE05HR/DH,POWER TRANSMISSION,GEAR REDUCERS,STANDARD WORM REDUCERS,STANDARD WORM REDUCERS,Motion,kf37 drn71ms4 be05hr dh,power transmission,gear reducers,standard worm reducers,standard worm reducers,Tools,0.00413055,0.009148021,0.024066465,0.0064378297,0.0035969298,0.006853051,0.007809498,0.004492035,0.005987187,0.0041274102,0.923351
19276709,"80BB15 W 1"" BALL BEARING",POWER TRANSMISSION,R CHAIN SPKTS,HI-VOLUME ROLLER CH SPKTS,RSB & BTS HI-VOL SPKTS,Motion,80bb15 w 1 ball bearing,power transmission,r chain spkts,hi volume roller ch spkts,rsb bts hi vol spkts,Automation Mechanical,0.014766633,0.00565298,0.61750144,0.013301116,0.0066880975,0.009145159,0.108595714,0.0063559376,0.0084868325,0.006154273,0.20335183
161559,80A40 SPK ROLLER A,POWER TRANSMISSION,R CHAIN SPKTS,HI-VOLUME ROLLER CH SPKTS,RSB & BTS HI-VOL SPKTS,Motion,80a40 spk roller a,power transmission,r chain spkts,hi volume roller ch spkts,rsb bts hi vol spkts,Automation Mechanical,0.014921177,0.005490599,0.6584237,0.013092827,0.0067580943,0.006758906,0.057194177,0.006052699,0.008575655,0.006218683,0.21651348
170219,50BS20 1 FINISHED BORE,POWER TRANSMISSION,R CHAIN SPKTS,HI-VOLUME ROLLER CH SPKTS,RSB & BTS HI-VOL SPKTS,Motion,50bs20 1 finished bore,power transmission,r chain spkts,hi volume roller ch spkts,rsb bts hi vol spkts,Automation Mechanical,0.014961413,0.005505405,0.6601992,0.014411654,0.006776318,0.0069137854,0.059176415,0.006316479,0.008598779,0.006235452,0.21090508
215285,SDS 1-3/8 QD BUSHING 120402,POWER TRANSMISSION,"BUSHINGS (TL,QD.ETC)","BUSHINGS TL, QD, ETC",QD BUSHINGS,Motion,sds 1 3 8 qd bushing 120402,power transmission,bushings tl qd etc,bushings tl qd etc,qd bushings,Tools,0.013832516,0.014310174,0.082655706,0.02523201,0.017510884,0.012705166,0.016474456,0.015845345,0.015863104,0.017750185,0.7678204
